question,answer
2 × 17 = ?,34
19 - 8 = ?,11
8 + 8 = ?,16
(6 + 6) ÷ 2 = ?,6
10 + 12 = ?,22
15 - 2 = ?,13
19 + 14 = ?,33
2 + 17 = ?,19
11 - 7 = ?,4
20 ÷ 1 = ?,20
9 - 9 = ?,0
2 × 7 = ?,14
19 + 16 = ?,35
14 × 19 = ?,266
1 × 1 = ?,1
14 - 6 = ?,8
17 - 4 = ?,13
15 × 15 = ?,225
19 - 17 = ?,2
2 × 8 = ?,16
13 - 5 = ?,8
(16 - 4) ÷ 6 = ?,2
11 + 11 = ?,22
2 + 15 = ?,17
2 - 2 = ?,0
12 × 16 = ?,192
10 + 13 = ?,23
10 - 9 = ?,1
20 + 6 = ?,26
18 - 4 = ?,14
2 × 14 = ?,28
(7 + 10) ÷ 1 = ?,17
11 × 16 = ?,176
6 - 3 = ?,3
7 × 18 = ?,126
(16 - 8) × 6 = ?,48
8 + 4 = ?,12
16 + 9 = ?,25
(11 - 10) × 3 = ?,3
17 - 7 = ?,10
12 + 14 = ?,26
(4 + 9) × 19 = ?,247
15 - 8 = ?,7
4 + 20 = ?,24
16 ÷ 16 = ?,1
18 + 20 = ?,38
10 × 20 = ?,200
17 + 3 = ?,20
(14 + 3) ÷ 1 = ?,17
(1 + 1) × 2 = ?,4
10 + 10 = ?,20
(13 - 5) ÷ 1 = ?,8
11 × 5 = ?,55
5 × 6 = ?,30
(1 + 7) × 10 = ?,80
7 + 9 = ?,16
10 + 11 = ?,21
5 × 12 = ?,60
15 + 6 = ?,21
(7 - 4) ÷ 1 = ?,3
12 - 1 = ?,11
13 ÷ 1 = ?,13
6 + 10 = ?,16
18 ÷ 2 = ?,9
15 + 12 = ?,27
(13 - 2) ÷ 1 = ?,11
5 - 1 = ?,4
16 × 6 = ?,96
3 + 2 = ?,5
(1 - 1) × 10 = ?,0
(18 - 5) ÷ 1 = ?,13
10 + 9 = ?,19
15 + 20 = ?,35
(19 - 2) ÷ 1 = ?,17
16 + 17 = ?,33
14 × 6 = ?,84
19 - 16 = ?,3
9 - 8 = ?,1
20 + 18 = ?,38
17 × 13 = ?,221
(2 + 9) × 4 = ?,44
8 × 20 = ?,160
13 × 12 = ?,156
9 × 13 = ?,117
18 + 4 = ?,22
16 + 11 = ?,27
(11 - 10) ÷ 1 = ?,1
15 + 17 = ?,32
6 × 10 = ?,60
11 - 2 = ?,9
16 + 7 = ?,23
12 × 7 = ?,84
13 + 5 = ?,18
20 - 14 = ?,6
3 + 10 = ?,13
20 + 8 = ?,28
10 - 6 = ?,4
13 + 20 = ?,33
9 × 20 = ?,180
